浴びる,あびる,"to bathe, to shower"
本当,ほんとう,truth; reality; actuality; fact
欲しい,ほしい,want
細い,ほそい,thin; slender
ホテル,,hotel
百,ひゃく,100; hundred
一,いち,one; best; first; foremost; start
一番,いちばん,"number one; first; 1st, first place​; best; most​"
一日,いちにち,"one day, all day"
家,いえ,"house, residence, family"
いかが,,how; in what way; how about​
池,いけ,pond
行く,いく,to go; to move
いくら,,how much?; how many?​
いくつ,,"how many?,how old?"
今,いま,now; the present time; soon
意味,いみ,meaning; significance; sense
妹,いもうと,younger sister
犬,いぬ,dog
入れる,いれる,to put in; to let in; to take in; to bring in; to insert; to install
入口,いりぐち,entrance; entry; gate
色,いろ,colour; color
色々,いろいろ,various
要る,いる,to be needed
居る,いる,"to be, to have"
医者,いしゃ,(medical) doctor; physician
忙しい,いそがしい,busy
一緒,いっしょ,together; at the same time; same; identical
椅子,いす,chair
痛い,いたい,painful; sore​
いつ,,when
五日,いつか,the fifth day of the month / 5 days
五つ,いつつ,five; 5
言う,いう,to say; to call
嫌,いや,unpleasant
じゃあ,,then; well; so; well then
字引,じびき,dictionary
自分,じぶん,myself; yourself; oneself; himself; herself; i; me
自動車,じどうしゃ,automobile; motorcar; motor vehicle; car
時間,じかん,time; hour(s)
辞書,じしょ,dictionary
自転車,じてんしゃ,bicycle
丈夫,じょうぶ,"strong, durable"
上手,じょうず,skillful; skilled; proficient; good (at)
授業,じゅぎょう,lesson; class work
十,じゅう,ten; 10
かばん,,bag; basket​
花瓶,かびん,a vase
角,かど,a corner; angle​
帰る,かえる,to go back​
返す,かえす,to return something
鍵,かぎ,key
階段,かいだん,stairs; stairway; staircase
買い物,かいもの,shopping; purchased goods
会社,かいしゃ,company; corporation
掛かる,かかる,"to take (a resource, e.g. time or money)"
掛ける,かける,to hang up; to make (a call)​;
書く,かく,to write; to compose; to pen; to draw
カメラ,,camera
紙,かみ,paper
漢字,かんじ,kanji
カップ,,cup
体,からだ,body
辛い,からい,spicy
カレー,,curry
カレンダー,,calendar
借りる,かりる,to borrow
軽い,かるい,light
傘,かさ,umbrella
貸す,かす,to lend; to loan
方,かた,way of doing something
家庭,かてい,household
買う,かう,to buy; to purchase
川,かわ,river; stream​
可愛い,かわいい,cute
火曜日,かようび,Tuesday
風,かぜ,wind
風邪,かぜ,a cold
家族,かぞく,family; members of a family
警官,けいかん,policeman; police officer
結婚,けっこん,marriage
結構,けっこう,"splendid, enough"
今朝,けさ,this morning
消す,けす,"to erase, to turn off power"
木,き,tree; shrub; bush; wood; timber
消える,きえる,to disappear
黄色い,きいろい,yellow
聞く,きく,to hear; to listen (to music); to ask; to learn of
昨日,きのう,yesterday
金曜日,きんようび,Friday
切符,きっぷ,ticket
嫌い,きらい,hate
綺麗,きれい,pretty; lovely; beautiful
キログラム,,kilogram
キロメートル,,kilometer
切る,きる,to cut
着る,きる,to wear
喫茶店,きっさてん,coffee shop; tearoom; cafe
北,きた,north
汚い,きたない,dirty
切手,きって,stamp (postage)
こっち,,this person or way
こちら,,this way; this direction​
子供,こども,child
声,こえ,voice
ここ,,here; this place
九日,ここのか,ninth day of the month / 9 days
九つ,ここのつ,nine; 9
困る,こまる,to be troubled
今晩,こんばん,tonight; this evening
今月,こんげつ,this month
こんな,,such; like this​
この,,this​
今週,こんしゅう,this week
コーヒー,,Coffee
コート,,coat
コピー,,copy; photocopy
コップ,,glass (drinking vessel); tumbler​
これ,,this
答える,こたえる,to answer
言葉,ことば,word; words
今年,ことし,this year
交番,こうばん,police box
紅茶,こうちゃ,black tea
ごい,,Meaning
公園,こうえん,park
交差点,こうさてん,intersection
口,くち,"mouth, opening"
果物,くだもの,fruit
下さい,ください,please
曇り,くもり,cloudiness; cloudy weather
曇る,くもる,"to become cloudy, to become dim"
国,くに,country; state; region
暗い,くらい,dark; gloomy; murky
クラス,,class
黒,くろ,black
黒い,くろい,black
来る,くる,to come
車,くるま,car; automobile; vehicle
薬,くすり,medicine
靴,くつ,shoes
靴下,くつした,socks
去年,きょねん,last year
今日,きょう,today; this day
兄弟,きょうだい,siblings; brothers and sisters​; mate
教室,きょうしつ,classroom
九,きゅう,nine; 9
マッチ,,match
町,まち,town; block; neighborhood
窓,まど,window
前,まえ,previous; before; in front; ago
曲がる,まがる,"to turn, to bend"
毎朝,まいあさ,every morning
毎晩,まいばん,every night
毎日,まいにち,every day
毎週,まいしゅう,every week
毎年,/まいとし/まいねん,every year; yearly; annually
毎月,まいつき,every month; monthly
万,まん,"10,000; ten thousand"
万年筆,まんねんひつ,fountain pen
丸い,まるい,"round,circular"
真っ直ぐ,まっすぐ,"straight ahead,direct"
待つ,まつ,to wait​
不味い,まずい,unpleasant
目,め,eye
メートル,,metre; meter
眼鏡,めがね,glasses
道,みち,road; street
緑,みどり,green
磨く,みがく,to polish; to shine; to brush (e.g. teeth)
右,みぎ,right; right hand side
短い,みじかい,short
三日,みっか,the third day of the month / 3 days
耳,みみ,ear; hearing
南,みなみ,south
皆さん,みなさん,everyone
みんな,,all; everyone; everybody
見る,みる,to see; to look; to watch; to view; to observe
店,みせ,store; shop; establishment; restaurant
見せる,みせる,to show; to display
三つ,みっつ,three; 3
水,みず,water; fluid; liquid​
木曜日,もくようび,Thursday
門,もん,gate
問題,もんだい,problem; question (e.g. on a test)
物,もの,thing
持つ,もつ,to hold
もっと,,more; longer; further
もう一度,もういちど,once more; again
六日,むいか,sixth day of the month / 6 days
向こう,むこう,over there
村,むら,village
六つ,むっつ,six; 6
難しい,むずかしい,difficult
長い,ながい,long (distance)​; long (time); lengthy.
ナイフ,,knife
中,なか,inside; in; within; center
鳴く,なく,animal noise. to chirp
無くす,なくす,to lose (something)
名前,なまえ,name; full name; given name
七つ,ななつ,seven; 7
何,なに,what
七日,なのか,seventh day of the month / 7 days
並べる,ならべる,"to line up,to set up"
並ぶ,ならぶ,"to line up,to stand in a line"
習う,ならう,to be taught; to learn (from a teacher)
夏,なつ,summer
夏休み,なつやすみ,summer vacation; summer holiday
何故,なぜ,why; how
猫,ねこ,cat
ネクタイ,,tie; necktie
寝る,ねる,to sleep; to go to bed; to lie down
二,に,two; 2
日曜日,にちようび,Sunday
賑やか,にぎやか,"bustling,busy"
日記,にっき,diary; journal
肉,にく,meat
荷物,にもつ,luggage; baggage
西,にし,west
庭,にわ,garden
登る,のぼる,to climb
飲み物,のみもの,drink; beverage
飲む,のむ,to drink
ノート,,notebook
乗る,のる,"to get on (train, plane, bus, ship, etc.)"
脱ぐ,ぬぐ,to take off clothes
温い,ぬるい,luke warm
ニュース,,news
おばあさん,,grandmother
伯母さん,おばさん,aunt; old lady
お弁当,おべんとう,lunch box; Japanese box lunch
覚える,おぼえる,to remember
お茶,おちゃ,tea
お風呂,おふろ,bath
美味しい,おいしい,delicious
伯父さん,おじさん,uncle; old man; mister
お母さん,おかあさん,mother; mom; mum; ma
お金,おかね,money
お菓子,おかし,confections; sweets; candy
起きる,おきる,to get up; to wake up
置く,おく,to put; to place​
奥さん,おくさん,wife; your wife; his wife
お巡りさん,おまわりさん,police officer (friendly term for policeman)
重い,おもい,heavy
面白い,おもしろい,interesting
同じ,おなじ,same
お腹,おなか,stomach
お姉さん,おねえさん,elder sister; young lady; miss; ma'am
音楽,おんがく,music
お兄さん,おにいさん,older brother; elder brother; young man; buddy
女,おんな,woman; female sex
女の子,おんなのこ,girl; daughter; young women
多い,おおい,many; numerous; a lot; large quantity; frequent
大きい,おおきい,big; large; great; important
大きな,おおきな,big; large; great​
大勢,おおぜい,crowd of people; great number of people
降りる,おりる,to get off
お酒,おさけ,alcohol
お皿,おさら,"plate, dish"
教える,おしえる,to teach
遅い,おそい,slow; time-consuming; late
押す,おす,to push; to press​
お手洗い,おてあらい,toilet; restroom; lavatory; bathroom
男,おとこ,man; male
男の子,おとこのこ,boy; male child; baby boy
大人,おとな,adult
一昨日,おととい,day before yesterday
一昨年,おととし,year before last
お父さん,おとうさん,father; dad; papa; pa; pop; daddy
弟,おとうと,younger brother
終わる,おわる,to finish; to end
泳ぐ,およぐ,to swim
パーティー,,party
パン,,bread
,,
ページ,,page
ペン,,pen
ペット,,pet
ポケット,,pocket
ポスト,,post
プール,,swimming pool
来月,らいげつ,next month
来年,らいねん,next year
来週,らいしゅう,next week
ラジオ,,radio
零,れい,zero
冷蔵庫,れいぞうこ,refrigerator
レコード,,record
練習,れんしゅう,practice; practicing
レストラン,,restaurant
立派,りっぱ,splendid
六,ろく,six; 6
廊下,ろうか,corridor; hallway; passageway
旅行,りょこう,travel; trip; journey; excursion; tour
料理,りょうり,cuisine
両親,りょうしん,parents; both parents
留学生,りゅうがくせい,overseas student; exchange student
さあ,,well…
財布,さいふ,purse; wallet
魚,さかな,fish
先,さき,previous; prior; first; earlier
咲く,さく,to bloom
作文,さくぶん,writing; composition
寒い,さむい,cold
三,さん,three; 3
散歩,さんぽ,walk; stroll
再来年,さらいねん,year after next
差す,さす,"to stretch out hands, to raise an umbrella"
砂糖,さとう,sugar
背,せ,height; stature; back; spine
背広,せびろ,business suit
セーター,,sweater; jumper
生徒,せいと,pupil; student
石鹼,せっけん,soap
狭い,せまい,narrow
千,せん,"1,000; thousand"
先月,せんげつ,last month
先生,せんせい,teacher; instructor; master
先週,せんしゅう,last week
洗濯,せんたく,washing; laundry
写真,しゃしん,photograph; photo
シャツ,,shirt
シャワー,,shower
四,し,four; 4
七,しち,seven; 7
仕事,しごと,work; job; business
ごい,,Meaning
閉まる,しまる,"to close, to be closed"
閉める,しめる,to close; to shut
締める,しめる,to tie; to fasten; to tighten​
新聞,しんぶん,newspaper
死ぬ,しぬ,to die
塩,しお,salt
白,しろ,white; innocence; innocent person
白い,しろい,white
知る,しる,to know
下,した,below; down; under; bottom
質問,しつもん,question; inquiry
静か,しずか,quiet
食堂,しょくどう,cafeteria; dining room
醬油,しょうゆ,soy sauce
宿題,しゅくだい,homework; assignment; pending issue
そば,,near; beside
そっち,,that way; ​over there
そちら,,"that way (distant from speaker, close to listener); you; your family"
そこ,,that place​; there
その,,that
空,そら,sky; the air
それ,,that
それでは,,in that situation
外,そと,outside; exterior;
掃除,そうじ,"to clean, to sweep"
直ぐに,すぐに,immediately; right away; instantly​
水曜日,すいようび,Wednesday
スカート,,skirt
好き,すき,like
少し,すこし,a little (bit); small quantity; few; short distance
少ない,すくない,few; a little; scarce; insufficient; seldom
住む,すむ,to live in; to reside; to inhabit; to dwell; to abide
スポーツ,,sport; sports
スプーン,,spoon
スリッパ,,slipper; slippers
ストーブ,,heater; stove
吸う,すう,"to smoke, to suck"
座る,すわる,to sit
涼しい,すずしい,"refreshing, cool"
たばこ,,tobacco; cigarette
食べ物,たべもの,food
食べる,たべる,to eat
多分,たぶん,perhaps; probably
大変,たいへん,very; greatly; terribly; serious; difficult
大切,たいせつ,important; necessary; indispensable; beloved
大使館,たいしかん,embassy
高い,たかい,high; tall; expensive; above average
沢山,たくさん,many
タクシー,,taxi
卵,たまご,eggs; egg
誕生日,たんじょうび,birthday
頼む,たのむ,to ask
楽しい,たのしい,enjoyable; fun
縦,たて,"length,height"
建物,たてもの,building
立つ,たつ,to stand; to stand up​
手,て,hand; arm
テーブル,,table
テープ,,tape
テープレコーダー,,tape recorder
手紙,てがみ,Letter (message)​
天気,てんき,weather; the elements
テレビ,,television; TV​
テスト,,examination; quiz; test
戸,と,Japanese style door
飛ぶ,とぶ,to fly; to hop
トイレ,,toilet
時計,とけい,watch; clock; timepiece
時,とき,time; moment; occasion; chance
時々,ときどき,sometimes; at times
所,ところ,place
止まる,とまる,to stop; to come to a halt
友達,ともだち,friend; companion
隣,となり,next door to
遠い,とおい,far
十日,とおか,tenth day of the month / 10 days
鳥,とり,bird
鶏肉,とりにく,chicken meat
取る,とる,to take; to pick up; to harvest; to earn; to win; to choose
撮る,とる,to take a photo or record a film
年,とし,year; age
図書館,としょかん,library
次,つぎ,next
一日,ついたち,first day of the month
疲れる,つかれる,to get tired
使う,つかう,to use
つける,,to turn on
付ける,つける,to attach; affix; add; apply
着く,つく,to arrive at
机,つくえ,desk
作る,つくる,to make
詰まらない,つまらない,boring
冷たい,つめたい,cold to the touch
勤める,つとめる,to work for someone
強い,つよい,powerful
上,うえ,above; up; over; top; surface
生まれる,うまれる,to be born
海,うみ,sea
売る,うる,to sell
煩い,うるさい,"noisy, annoying"
後ろ,うしろ,back; behind; rear
薄い,うすい,thin; weak
歌,うた,song
歌う,うたう,to sing
上着,うわぎ,coat; tunic; jacket; outer garment
ワイシャツ,,shirt
若い,わかい,young
分かる,わかる,to understand; to comprehend; to grasp; to see; to get; to follow
悪い,わるい,bad; poor; undesirable
忘れる,わすれる,to forget
渡る,わたる,to go across
私,わたし,I; myself
渡す,わたす,to hand over
山,やま,mountain; hill
八百屋,やおや,greengrocer; fruit and vegetable shop; versatile
やる,,to do
野菜,やさい,vegetable
易しい,やさしい,"easy, simple"
安い,やすい,cheap; inexpensive
休み,やすみ,rest; vacation; holiday
休む,やすむ,to be absent; to take a day off; to rest
八つ,やっつ,eight: 8
呼ぶ,よぶ,"to call out, to invite"
良い,/よい/いい,good
四日,よっか,fourth day of the month / 4 days
横,よこ,"beside,side,width"
よく,,"often, well"
読む,よむ,to read; to guess; to predict; to read (someone's thoughts)
夜,よる,evening; night
四つ,よつ,four; 4
洋服,ようふく,western clothes
八日,ようか,eighth day of the month / 8 days
弱い,よわい,weak
雪,ゆき,snow
ゆっくり,,slowly
昨夜,ゆうべ,last night
郵便局,ゆうびんきょく,post office
夕方,ゆうがた,evening; dusk
夕飯,ゆうはん,evening meal
有名,ゆうめい,famous
雑誌,ざっし,magazine
全部,ぜんぶ,all
ゼロ,,zero
ズボン,,trousers; pants
